id,page_id,data_type_code
2,177,PDF
1,177,PDF
3,239,PDF
4,232,PDF
5,239,PDF
6,1291,PDF
7,232,PDF
8,255,PDF
9,255,PDF
10,262,PDF
11,262,PDF
12,262,PDF
13,2123,DOC
14,2123,DOC
15,2123,DOC
16,2123,DOC
17,2123,DOC
18,2123,DOC
19,2124,PDF
20,2124,PDF
21,2124,PDF
22,2124,PDF
23,2124,PDF
24,2125,PDF
25,2126,PDF
26,2125,PDF
27,2126,PDF
28,2126,PDF
29,2126,PDF
30,2126,PDF
31,2126,PDF
32,2127,PDF
33,2126,PDF
34,2127,PDF
35,2126,PDF
36,2127,PDF
37,2127,PDF
38,2128,PDF
39,2127,PDF
40,2128,PDF
41,2127,PDF
42,2128,PDF
43,2127,PDF
44,2128,PDF
45,2127,PDF
46,2128,PDF
47,2127,PDF
48,2129,PDF
50,2128,PDF
49,2129,PDF
51,2129,PDF
52,2130,PDF
54,2130,PDF
53,2128,PDF
55,2128,PDF
56,2131,PDF
57,2129,PDF
58,2131,PDF
64,2132,DOC
65,2131,PDF
66,2132,DOC
62,2130,PDF
61,2130,PDF
60,2129,PDF
59,2129,PDF
63,2130,PDF
67,1316,PDF
68,1316,PDF
69,2133,PDF
70,539,PDF
71,522,PDF
72,522,PDF
73,522,PDF
76,522,PDF
74,522,PDF
75,522,PDF
77,558,PDF
78,558,PDF
79,564,PDF
80,1368,PDF
81,1368,PDF
82,334,PDF
83,334,PDF
84,334,PDF
85,2947,PDF
86,2947,PDF
87,2947,PDF
88,2957,PDF
89,2957,PDF
90,2957,PDF
91,2957,PDF
92,2965,PDF
93,789,PDF
94,789,PDF
95,789,PDF
96,789,PDF
97,3272,PDF
98,3269,DOC
99,3271,DOC
100,3271,DOC
101,3271,DOC
102,811,PDF
103,811,PDF
104,811,PDF
105,811,PDF
106,3852,DOC
107,3853,PDF
108,3853,PDF
109,3879,PDF
110,3887,PDF
111,3907,PDF
112,3898,PDF
113,3907,PDF
114,3907,PDF
115,3898,PDF
116,3901,PDF
117,3898,PDF
118,3901,PDF
121,3921,PDF
119,3929,PDF
120,3910,PDF
123,3910,PDF
122,3895,PDF
124,3860,PDF
146,4037,PDF
171,3736,PDF
125,3914,PDF
126,3993,PDF
135,4002,DOC
145,4037,PDF
159,3725,PDF
172,3736,PDF
127,3998,DOC
157,4049,DOC
128,3998,DOC
129,4002,DOC
152,4049,DOC
130,4002,DOC
131,4002,DOC
132,4002,DOC
133,4007,DOC
134,4007,DOC
136,4002,DOC
161,3725,PDF
137,3998,DOC
138,3998,DOC
139,4002,DOC
140,4002,DOC
158,3725,PDF
141,4013,DOC
142,4013,DOC
160,3706,DOC
170,3712,PDF
143,4018,DOC
167,3712,PDF
144,4030,DOC
163,3719,DOC
147,4037,PDF
148,4037,PDF
168,3760,PDF
174,3736,PDF
149,4037,PDF
169,3773,DOC
150,4040,PDF
151,4040,PDF
153,4040,PDF
154,4045,PDF
155,4049,DOC
156,4045,PDF
162,3732,DOC
164,3719,DOC
165,3773,DOC
166,3746,DOC
173,3712,PDF
176,3736,PDF
175,3736,PDF
177,3698,PDF
178,3698,PDF
179,3698,PDF
180,4116,DOC
181,4116,DOC
182,4116,DOC
183,4123,PPT
184,4127,PPT
185,4127,PPT
187,4120,PPT
186,4120,PPT
188,4120,PPT
189,4120,PPT
190,5150,PDF
191,5150,PDF
192,5150,PDF
193,5150,PDF
195,1982,DOC
194,1981,DOC
196,5150,PDF
197,5150,PDF
198,1981,DOC
199,1981,DOC
200,1981,DOC
201,1980,PDF
202,315,PDF
203,315,PDF
204,315,PDF
205,1927,DOC
206,1934,DOC
207,1927,DOC
208,1932,DOC
209,1932,DOC
210,1932,DOC
211,1941,DOC
212,3876,DOC
213,3876,DOC
214,1941,DOC
215,1941,DOC
216,584,DOC
217,584,DOC
218,584,DOC
219,634,DOC
220,608,DOC
221,608,DOC
222,619,DOC
226,594,DOC
224,598,DOC
223,594,DOC
225,645,DOC
227,594,DOC
228,614,DOC
229,645,DOC
230,608,DOC
231,619,DOC
232,634,DOC
233,634,DOC
235,563,DOC
234,895,PDF
236,868,PDF
237,868,PDF
238,868,PDF
239,604,DOC
240,604,DOC
241,582,PDF
242,674,PDF
243,933,PDF
244,933,PDF
245,933,PDF
246,933,PDF
247,933,PDF
248,940,PDF
249,954,PDF
250,943,PDF
251,943,PDF
252,958,PDF
253,354,PDF
